clusterName,onTarget
???,0.45346324989870934
Astrocytes,0.29416838518956157
CSF-cNs,0.27023269426185637
Cholinergic-IN,0.22851676465826726
Endo,0.18980737497043254
Ependymal,0.39816508005314677
GABA-D,0.21176425259831944
GABA-Gluta,0.3588367035538468
GABA-M,0.1650796481965306
GABA-V,0.1409531147242966
Gluta-D,0.2499617972570998
Gluta-M,0.16528106650649152
Gluta-V,0.16448137933450724
Lymphocytes,0.25620306482551813
Macrophages,0.13591042207896561
Microglia,0.23359056604246295
OPC,0.17024658729474312
Oligo,0.308228607167201
Schwann,0.2248208543466709
Skeletal Motor Neurons,0.25610582257259684
Vascular,0.1251282936885703
Visceral Motor Neurons,0.25885929699309057
