,0
???,255
Astrocytes,61
CSF-cNs,58
Cholinergic-IN,551
Endo,123
Ependymal,82
GABA-D,45
GABA-Gluta,143
GABA-M,165
GABA-V,217
Gluta-D,32
Gluta-M,83
Gluta-V,447
Lymphocytes,12
Macrophages,168
Microglia,45
OPC,36
Oligo,76
Schwann,372
Skeletal Motor Neurons,1323
Vascular,24
Visceral Motor Neurons,719
