clusterName,markerGene,score
Cholinergic,CHAT,0.8602689384448342
Cholinergic,SLC5A7,0.8602689384448342
Cholinergic,CREB5,0.8602689384448342
GABA-Gluta,NR4A2,0.6453558504221955
GABA-Gluta,CBLN2,0.6453558504221955
GABA-Gluta,BCL11B,0.6453558504221955
GABA-Gluta,ADGRA3,0.6453558504221955
GABAergic,SLC6A5,0.8439297808159837
Glutamatergic,SLC17A6,0.8958953004164188
Non-Neurons,ZEB2,0.8794087347846125
Unknown,DDC,0.7805907172995781
