clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
2,18255,0.894473053411476,0.9050713705465939,0.854450835387565,189215,1636,2657,15598,1,['FAM149A'],"['SCML4', 'FAM149A', 'AZIN2', 'CLCN5', 'SOCS6', 'LRRK2', 'IPCEF1', 'DOCK2', 'IFNGR2', 'ABCC4']",0.024568830828119923
3,657,0.18007662835249041,0.29012345679012347,0.0715372907153729,208334,115,610,47,2,"['BCL6', 'PPARD']","['BCL6', 'POU2F2', 'MGAT4A', 'UGCG', 'PPARD', 'GNA13', 'MOB1A', 'AP1B1', 'ETV6', 'MAN1C1']",0.01102124551848589
4,165,0.05817932922655715,0.05246913580246913,0.10303030303030303,208634,307,148,17,3,"['MITF', 'SLC18B1', 'DOCK2']","['BACH1', 'FAM149A', 'SOCS6', 'MITF', 'SLC18B1', 'DOCK2', 'CC2D2B', 'GAS7', 'TGFBR1', 'ARHGAP24']",0.014299667220424611
5,104,0.05102040816326531,0.08695652173913043,0.019230769230769232,208981,21,102,2,2,"['HSPBAP1', 'FAM149A']","['APOE', 'HSPBAP1', 'FAM149A', 'WIPF1', 'WDR43', 'LRRK2', 'MITF', 'IPCEF1', 'GNA13', 'RNASEH2B']",0.016168957315993965
6,172,0.2578125,0.28205128205128205,0.19186046511627908,208850,84,139,33,1,['MITF'],"['APOE', 'SCML4', 'PDGFC', 'WIPF1', 'ASAH1', 'MITF', 'SIRPA', 'HEXB', 'ETV6', 'STARD13']",0.01626644514532679
7,1278,0.2929203539823009,0.302836230558097,0.2589984350547731,207066,762,947,331,3,"['GFAP', 'CALCRL', 'CRB1']","['GFAP', 'COMMD9', 'CALCRL', 'PDZRN3', 'CRB1', 'SHROOM3', 'RFX4', 'PDZRN4', 'OSGIN2', 'ALPK3']",0.027184164170968948
8,430,0.362095531587057,0.43317972350230416,0.2186046511627907,208553,123,336,94,3,"['GFAP', 'PDGFD', 'PDZRN3']","['GFAP', 'IL6ST', 'PDGFD', 'PRR5L', 'SPON1', 'PDZRN3', 'CCDC148', 'RORB', 'RFX4', 'SULF2']",0.01989849182827247
9,3023,0.5452611047078642,0.5959302325581395,0.4068805822031095,205249,834,1793,1230,2,"['GFAP', 'SULF2']","['GFAP', 'CD109', 'COMMD9', 'CRYAB', 'RFX4', 'SULF2', 'OSGIN2', 'PDZRN4', 'ALPK3', 'RGS9']",0.020732332683190975
10,155,0.4903677758318739,0.5384615384615384,0.36129032258064514,208903,48,99,56,2,"['ABCA1', 'SPARCL1']","['ABCA1', 'GFAP', 'SPARCL1', 'WIPF1', 'DENND2A', 'ELL2', 'RFX4', 'ANGPT1', 'PDE3A', 'ITGAV']",0.022066571949296017
11,88,0.06097560975609756,0.05357142857142857,0.13636363636363635,208806,212,76,12,4,"['GFAP', 'PDGFD', 'PDZRN3', 'ADCYAP1R1']","['SLC16A1', 'GFAP', 'PDGFD', 'CALCRL', 'PDZRN3', 'ADCYAP1R1', 'SULF2', 'RFX4', 'UGP2', 'TAGLN3']",0.016125140531508344
12,669,0.46603032004491857,0.5971223021582733,0.24813153961136025,208325,112,503,166,4,"['SLC16A1', 'GFAP', 'CD109', 'PDGFD']","['SLC16A1', 'CLDN10', 'GFAP', 'MSN', 'CD109', 'PDGFD', 'CALCRL', 'PDZRN3', 'ADCYAP1R1', 'CCDC148']",0.02155964523511539
13,196,0.030850594975760245,0.025225225225225224,0.2857142857142857,206746,2164,140,56,5,"['LMO7', 'PRR5L', 'TSPAN9', 'RFTN1', 'ST18']","['LMO7', 'RAB37', 'PRR5L', 'TSPAN9', 'RFTN1', 'ST18', 'APOD', 'FNTB', 'RNF220', 'PTGDS']",0.019796065812485122
14,2958,0.470958622462092,0.6077943615257048,0.2478025693035835,205675,473,2225,733,4,"['PRIMA1', 'PNPLA3', 'LPCAT2', 'ARHGEF37']","['PMP22', 'PRIMA1', 'PNPLA3', 'LPCAT2', 'ARHGEF37', 'ST18', 'FNTB', 'RNF220', 'RORB', 'SASH1']",0.021124079518298228
15,156,0.07194244604316546,0.06694560669456066,0.10256410256410256,208727,223,140,16,6,"['PNPLA3', 'PRR5L', 'LPCAT2', 'ANXA5', 'ST18', 'FNTB']","['PNPLA3', 'PRR5L', 'LPCAT2', 'ANXA5', 'ST18', 'FNTB', 'RNF220', 'RORB', 'SASH1', 'OTUD7B']",0.021000327115717605
17,13924,0.39052400241316904,0.4463186407288845,0.2603418557885665,190685,4497,10299,3625,3,"['PRR5L', 'RFTN1', 'RNF220']","['PRR5L', 'CREB5', 'RFTN1', 'MEGF10', 'ST18', 'RNF220', 'CNTN2', 'ARHGAP23', 'GAB1', 'STMN4']",0.016684747035269995
18,1877,0.3828701077708451,0.47479484173505276,0.21576984549813533,206781,448,1472,405,3,"['TSPAN9', 'PRR5L', 'GOLIM4']","['RAB37', 'TSPAN9', 'PRR5L', 'LPCAT2', 'GOLIM4', 'GPD2', 'RFTN1', 'ST18', 'APOD', 'FNTB']",0.019141330816102774
19,420,0.1463347921225383,0.13226205191594562,0.25476190476190474,207984,702,313,107,4,"['PDGFA', 'RAB37', 'PRR5L', 'ANXA5']","['LMO7', 'PDGFA', 'RAB37', 'PRR5L', 'TSPAN9', 'ANXA5', 'CRYAB', 'RFTN1', 'ST18', 'APOD']",0.019085829177464837
20,1633,0.23293721737301504,0.2249873031995937,0.27127985303123087,205947,1526,1190,443,4,"['TPPP', 'TALDO1', 'CRYAB', 'RFTN1']","['TPPP', 'PRR5L', 'TALDO1', 'CRYAB', 'RFTN1', 'ST18', 'APOD', 'PRDX1', 'NDRG1', 'RNF220']",0.012424073324212838
21,1803,0.47293603061782397,0.5635179153094463,0.2878535773710483,206901,402,1284,519,5,"['LMO7', 'RAB37', 'AVEN', 'PRR5L', 'LPCAT2']","['LMO7', 'RAB37', 'AVEN', 'PRR5L', 'TSPAN9', 'LPCAT2', 'GOLIM4', 'RFTN1', 'ST18', 'FNTB']",0.022290178197945903
22,781,0.3866602223296278,0.4968944099378882,0.20486555697823303,208163,162,621,160,5,"['CLDN10', 'ABHD17A', 'PINK1', 'PDGFD', 'RPLP0']","['CLDN10', 'GFAP', 'ABHD17A', 'PINK1', 'PDGFD', 'RPLP0', 'PURB', 'HTRA1', 'NEFH', 'RORB']",0.018991912530854103
23,78,0.14492753623188406,0.26666666666666666,0.05128205128205128,209017,11,74,4,6,"['PDZRN3', 'CRB1', 'MEGF10', 'PTCH1', 'PDZRN4', 'RORB']","['PDZRN3', 'CRB1', 'MEGF10', 'PTCH1', 'PDZRN4', 'RORB', 'RFX4', 'MRAS', 'SASH1', 'SLC24A4']",0.017549917007115685
24,2031,0.6374326849104297,0.656479909451047,0.5711472181191531,206468,607,871,1160,2,"['PDZRN4', 'RORB']","['CLDN10', 'GFAP', 'PTCH1', 'PDZRN4', 'RORB', 'RFX4', 'SASH1', 'MRAS', 'SLC24A4', 'SLC4A4']",0.013177609212813106
25,8172,0.7409169019270897,0.7911205766710354,0.5909202153695545,199659,1275,3343,4829,2,"['CLDN10', 'HTRA1']","['FREM1', 'GPAM', 'CLDN10', 'GFAP', 'HTRA1', 'GPLD1', 'PDGFD', 'CSGALNACT1', 'PTCH1', 'HACD2']",0.033403587629135166
26,76,0.11029411764705882,0.0958904109589041,0.27631578947368424,208832,198,55,21,4,"['COL4A3', 'GPAM', 'ACACB', 'PDZRN4']","['COL4A3', 'GPAM', 'SPARCL1', 'APOE', 'ACACB', 'PDZRN4', 'SASH1', 'RYR1', 'SLC24A4', 'SLC4A4']",0.021050793144128346
27,336,0.3223981900452489,0.41605839416058393,0.16964285714285715,208690,80,279,57,5,"['SHROOM3', 'CDH9', 'NFIX', 'ITGA9', 'GLDN']","['SHROOM3', 'CDH9', 'NFIX', 'ITGA9', 'GLDN', 'CEMIP', 'HTR1F', 'PDE1C', 'PARM1', 'ZBTB7C']",0.0133513496047417
28,499,0.4,0.5972222222222222,0.17234468937875752,208549,58,413,86,3,"['COL4A3', 'PDGFD', 'ITGA9']","['COL4A3', 'PDGFD', 'ARHGAP28', 'ITGA9', 'RYR1', 'TRPC4', 'PTPRZ1', 'CNIH3', 'SEMA3A', 'SULF2']",0.023809239790791973
29,709,0.28160575194727383,0.39166666666666666,0.1325811001410437,208251,146,615,94,4,"['COL4A3', 'LMO3', 'ST18', 'NFIX']","['COL4A3', 'LMO3', 'ST18', 'PDGFD', 'NMNAT3', 'NFIX', 'PTPRU', 'SMOC2', 'CEMIP', 'PTPRZ1']",0.014921953379456706
30,2498,0.286649632705206,0.38150903294367694,0.14371497197758207,206026,582,2139,359,4,"['ST18', 'SAMD5', 'NFIX', 'MKX']","['ST18', 'PDGFD', 'SAMD5', 'NFIX', 'MKX', 'CPLX1', 'GFRA1', 'SASH1', 'SLC6A5', 'CDK6']",0.012218765243386233
31,664,0.0478515625,0.04398563734290844,0.07379518072289157,207377,1065,615,49,3,"['NFIX', 'NAP1L2', 'RPL4']","['NFIX', 'NDUFB10', 'NAP1L2', 'RPL4', 'TOX', 'PTPRZ1', 'LOC116764742', 'CEND1', 'RPL10A', 'NDUFA11']",0.006373352991308051
