clusterName,markerGene,score
2,FAM149A,0.894473053411476
3,BCL6,0.18007662835249041
3,PPARD,0.18007662835249041
4,MITF,0.05817932922655715
4,SLC18B1,0.05817932922655715
4,DOCK2,0.05817932922655715
5,HSPBAP1,0.05102040816326531
5,FAM149A,0.05102040816326531
6,MITF,0.2578125
7,GFAP,0.2929203539823009
7,CALCRL,0.2929203539823009
7,CRB1,0.2929203539823009
8,GFAP,0.362095531587057
8,PDGFD,0.362095531587057
8,PDZRN3,0.362095531587057
9,GFAP,0.5452611047078642
9,SULF2,0.5452611047078642
10,ABCA1,0.4903677758318739
10,SPARCL1,0.4903677758318739
11,GFAP,0.06097560975609756
11,PDGFD,0.06097560975609756
11,PDZRN3,0.06097560975609756
11,ADCYAP1R1,0.06097560975609756
12,SLC16A1,0.46603032004491857
12,GFAP,0.46603032004491857
12,CD109,0.46603032004491857
12,PDGFD,0.46603032004491857
13,LMO7,0.030850594975760245
13,PRR5L,0.030850594975760245
13,TSPAN9,0.030850594975760245
13,RFTN1,0.030850594975760245
13,ST18,0.030850594975760245
14,PRIMA1,0.470958622462092
14,PNPLA3,0.470958622462092
14,LPCAT2,0.470958622462092
14,ARHGEF37,0.470958622462092
15,PNPLA3,0.07194244604316546
15,PRR5L,0.07194244604316546
15,LPCAT2,0.07194244604316546
15,ANXA5,0.07194244604316546
15,ST18,0.07194244604316546
15,FNTB,0.07194244604316546
17,PRR5L,0.39052400241316904
17,RFTN1,0.39052400241316904
17,RNF220,0.39052400241316904
18,TSPAN9,0.3828701077708451
18,PRR5L,0.3828701077708451
18,GOLIM4,0.3828701077708451
19,PDGFA,0.1463347921225383
19,RAB37,0.1463347921225383
19,PRR5L,0.1463347921225383
19,ANXA5,0.1463347921225383
20,TPPP,0.23293721737301504
20,TALDO1,0.23293721737301504
20,CRYAB,0.23293721737301504
20,RFTN1,0.23293721737301504
21,LMO7,0.47293603061782397
21,RAB37,0.47293603061782397
21,AVEN,0.47293603061782397
21,PRR5L,0.47293603061782397
21,LPCAT2,0.47293603061782397
22,CLDN10,0.3866602223296278
22,ABHD17A,0.3866602223296278
22,PINK1,0.3866602223296278
22,PDGFD,0.3866602223296278
22,RPLP0,0.3866602223296278
23,PDZRN3,0.14492753623188406
23,CRB1,0.14492753623188406
23,MEGF10,0.14492753623188406
23,PTCH1,0.14492753623188406
23,PDZRN4,0.14492753623188406
23,RORB,0.14492753623188406
24,PDZRN4,0.6374326849104297
24,RORB,0.6374326849104297
25,CLDN10,0.7409169019270897
25,HTRA1,0.7409169019270897
26,COL4A3,0.11029411764705882
26,GPAM,0.11029411764705882
26,ACACB,0.11029411764705882
26,PDZRN4,0.11029411764705882
27,SHROOM3,0.3223981900452489
27,CDH9,0.3223981900452489
27,NFIX,0.3223981900452489
27,ITGA9,0.3223981900452489
27,GLDN,0.3223981900452489
28,COL4A3,0.4
28,PDGFD,0.4
28,ITGA9,0.4
29,COL4A3,0.28160575194727383
29,LMO3,0.28160575194727383
29,ST18,0.28160575194727383
29,NFIX,0.28160575194727383
30,ST18,0.286649632705206
30,SAMD5,0.286649632705206
30,NFIX,0.286649632705206
30,MKX,0.286649632705206
31,NFIX,0.0478515625
31,NAP1L2,0.0478515625
31,RPL4,0.0478515625
32,TNS1,0.4176904176904177
32,ST18,0.4176904176904177
32,HHAT,0.4176904176904177
32,NFIX,0.4176904176904177
32,DACH2,0.4176904176904177
32,B3GLCT,0.4176904176904177
33,SLC16A14,0.32679738562091504
34,HSPB1,0.6878519710378117
34,LTBP4,0.6878519710378117
34,ATOX1,0.6878519710378117
35,MYH9,0.1388888888888889
36,BDNF,0.39431330472103004
36,TMEM200A,0.39431330472103004
36,CASZ1,0.39431330472103004
36,CDH22,0.39431330472103004
37,PDZRN3,0.35714285714285715
37,LRRK2,0.35714285714285715
37,NRN1,0.35714285714285715
38,TGFBR3,0.36903578528827036
38,CASZ1,0.36903578528827036
38,CDH22,0.36903578528827036
38,PDE1C,0.36903578528827036
39,BDNF,0.31624863685932386
39,CASZ1,0.31624863685932386
39,ARHGAP28,0.31624863685932386
39,RORB,0.31624863685932386
39,SYT10,0.31624863685932386
40,CBLN2,0.3962962962962963
40,SLC7A8,0.3962962962962963
40,NRN1,0.3962962962962963
40,FSTL1,0.3962962962962963
40,DACH2,0.3962962962962963
40,ELL2,0.3962962962962963
41,CNIH3,0.35294117647058826
41,ST8SIA4,0.35294117647058826
41,CBLN2,0.35294117647058826
42,PDZRN3,0.1787773933102653
42,CLMP,0.1787773933102653
42,HTRA1,0.1787773933102653
42,SLC7A8,0.1787773933102653
42,KCNC3,0.1787773933102653
42,FGF9,0.1787773933102653
45,GOLM1,0.7518022657054583
45,SIRPA,0.7518022657054583
46,PDGFC,0.2363367799113737
47,TMOD1,0.7142857142857143
47,SLC44A2,0.7142857142857143
48,SCAMP2,0.20833333333333334
49,CDH6,0.45714285714285713
49,CADPS2,0.45714285714285713
49,CSGALNACT1,0.45714285714285713
49,SYT10,0.45714285714285713
50,CNGB1,0.19230769230769232
50,STAT4,0.19230769230769232
50,PDE1C,0.19230769230769232
50,GABRG1,0.19230769230769232
50,SEMA3A,0.19230769230769232
51,ADAMTSL3,0.0753402462734932
51,TMEM91,0.0753402462734932
51,PTPRU,0.0753402462734932
51,RYR1,0.0753402462734932
52,TMEM200A,0.36231884057971014
52,ADAMTS2,0.36231884057971014
52,STAT4,0.36231884057971014
52,NT5DC3,0.36231884057971014
52,DACH2,0.36231884057971014
53,RET,0.297029702970297
53,ANKDD1B,0.297029702970297
53,FAT1,0.297029702970297
53,SERPINE2,0.297029702970297
53,SLC27A6,0.297029702970297
53,HNMT,0.297029702970297
54,DLK1,0.3201219512195122
54,RET,0.3201219512195122
54,FAT1,0.3201219512195122
54,CCDC60,0.3201219512195122
54,TRPC4,0.3201219512195122
55,CDH9,0.2503128911138924
55,BAIAP3,0.2503128911138924
55,ANGPT1,0.2503128911138924
56,TMEM200A,0.42075736325385693
56,ADAMTS2,0.42075736325385693
56,STAT4,0.42075736325385693
56,STXBP6,0.42075736325385693
56,SEMA3A,0.42075736325385693
57,HTR2A,0.2742616033755274
57,TRPC4,0.2742616033755274
57,RUNX2,0.2742616033755274
58,SPINT2,0.37572254335260113
58,FXYD6,0.37572254335260113
58,NDRG1,0.37572254335260113
58,GOLIM4,0.37572254335260113
58,GABRG1,0.37572254335260113
59,HTR2A,0.4024390243902439
59,VLDLR,0.4024390243902439
59,GPR176,0.4024390243902439
59,TSNAX,0.4024390243902439
59,MYO1D,0.4024390243902439
60,ITGA8,0.22954091816367264
60,LPCAT2,0.22954091816367264
60,PRKCQ,0.22954091816367264
60,TOX,0.22954091816367264
61,SLC5A8,0.4512893982808023
61,MATN2,0.4512893982808023
61,PRKCQ,0.4512893982808023
61,RHBDL3,0.4512893982808023
62,EPB41L4A,0.3693181818181818
62,FAT1,0.3693181818181818
62,MATN2,0.3693181818181818
62,KCNC3,0.3693181818181818
62,LIMA1,0.3693181818181818
63,PRR5L,0.24647887323943662
63,ITGA8,0.24647887323943662
63,ST18,0.24647887323943662
63,PRKCQ,0.24647887323943662
63,STXBP6,0.24647887323943662
64,HCRTR2,0.19801980198019803
64,PARM1,0.19801980198019803
64,TOX,0.19801980198019803
65,B4GALNT3,0.13198757763975155
65,SLC27A6,0.13198757763975155
65,TRPC4,0.13198757763975155
65,CCDC60,0.13198757763975155
65,ANGPT1,0.13198757763975155
66,ITGA8,0.3125
66,PDZRN3,0.3125
66,HYDIN,0.3125
66,PDGFD,0.3125
67,HCRTR2,0.2127659574468085
67,RFTN1,0.2127659574468085
67,CNR1,0.2127659574468085
67,GSAP,0.2127659574468085
67,MATN2,0.2127659574468085
68,ITGA8,0.3548034934497817
68,LRGUK,0.3548034934497817
68,CLMP,0.3548034934497817
68,AHR,0.3548034934497817
68,PCSK1,0.3548034934497817
69,RET,0.3493975903614458
69,HCRTR2,0.3493975903614458
69,IPCEF1,0.3493975903614458
69,MATN2,0.3493975903614458
69,FBN2,0.3493975903614458
70,NOS1,0.371900826446281
70,TNFRSF19,0.371900826446281
70,PRKCQ,0.371900826446281
70,MITF,0.371900826446281
71,ITGA8,0.4485981308411215
71,COLGALT2,0.4485981308411215
71,PDHA1,0.4485981308411215
71,BCL11B,0.4485981308411215
71,HTR1F,0.4485981308411215
72,ARHGAP28,0.3558431055398302
72,PRKCQ,0.3558431055398302
72,MITF,0.3558431055398302
73,NOS1,0.4947916666666667
73,ONECUT2,0.4947916666666667
73,ST3GAL1,0.4947916666666667
73,LMO4,0.4947916666666667
73,MATN2,0.4947916666666667
73,PDGFD,0.4947916666666667
74,STAT4,0.4827586206896552
75,NPY1R,0.5866842452208306
75,LTBP1,0.5866842452208306
75,PDE3A,0.5866842452208306
75,TMEM132C,0.5866842452208306
76,CNGB1,0.3872549019607843
76,SCUBE2,0.3872549019607843
76,GPR149,0.3872549019607843
76,GLIS1,0.3872549019607843
77,ENTPD3,0.42700729927007297
77,FBN2,0.42700729927007297
77,TLL2,0.42700729927007297
78,DLK1,0.3349282296650718
78,CNGB1,0.3349282296650718
78,CCDC60,0.3349282296650718
79,IKZF2,0.39244186046511625
79,ZBBX,0.39244186046511625
79,PRLR,0.39244186046511625
79,CPNE4,0.39244186046511625
80,CDH9,0.3379549393414211
80,TLL2,0.3379549393414211
81,CDH9,0.5791710945802337
81,CASZ1,0.5791710945802337
82,TSPAN18,0.22297297297297297
82,FBN2,0.22297297297297297
82,TLL2,0.22297297297297297
83,CNGB1,0.3108711839166046
83,FLRT3,0.3108711839166046
83,TLL2,0.3108711839166046
84,SPINT2,0.25
84,ENTPD3,0.25
84,ADCYAP1,0.25
85,NPY1R,0.16154328732747805
85,TSPAN18,0.16154328732747805
85,ENTPD3,0.16154328732747805
85,ADCYAP1,0.16154328732747805
86,NPY1R,0.2697841726618705
86,TMEM200A,0.2697841726618705
86,ADCYAP1,0.2697841726618705
86,CFAP54,0.2697841726618705
86,SYT10,0.2697841726618705
87,GPR149,0.5211370262390671
87,CNGB1,0.5211370262390671
87,PTN,0.5211370262390671
87,SERPINE2,0.5211370262390671
88,RET,0.39215686274509803
88,CPLX2,0.39215686274509803
88,ACTN2,0.39215686274509803
88,PRKCQ,0.39215686274509803
89,PKIB,0.17970401691331925
89,ACTN2,0.17970401691331925
89,HUNK,0.17970401691331925
89,FRMPD3,0.17970401691331925
90,ACTN2,0.33780427223050175
90,PLCH1,0.33780427223050175
90,GAS7,0.33780427223050175
91,PDGFC,0.25316455696202533
91,PCP4,0.25316455696202533
91,SHB,0.25316455696202533
91,RGMB,0.25316455696202533
91,IPCEF1,0.25316455696202533
92,KCNMB4,0.08333333333333333
92,GABRA4,0.08333333333333333
92,LMO4,0.08333333333333333
92,AHR,0.08333333333333333
92,SLC27A6,0.08333333333333333
93,PTPRU,0.13847675568743817
93,LIMA1,0.13847675568743817
93,FAT1,0.13847675568743817
93,STARD13,0.13847675568743817
94,IKZF2,0.34375
94,NPY1R,0.34375
94,ADCYAP1,0.34375
94,GLIS1,0.34375
95,NPY1R,0.3076923076923077
95,TMEM200A,0.3076923076923077
95,CDH9,0.3076923076923077
95,TLL2,0.3076923076923077
95,SEMA3C,0.3076923076923077
96,TMEM200A,0.4022236756049706
96,HYDIN,0.4022236756049706
96,CBLN2,0.4022236756049706
96,SYT10,0.4022236756049706
97,CEMIP,0.7584050039093041
98,THSD4,0.7681940700808625
98,ADAMTSL3,0.7681940700808625
99,NFKBIZ,0.2915766738660907
99,THSD4,0.2915766738660907
101,RPS2,0.7621951219512195
101,PTGDS,0.7621951219512195
103,SPON1,0.6722498868266183
103,ITGA9,0.6722498868266183
103,SULF2,0.6722498868266183
104,COL4A3,0.5709410683816774
104,CALCRL,0.5709410683816774
105,CREB5,0.5367675973259929
105,SPP1,0.5367675973259929
106,TMOD1,0.3104931449565399
106,CRYAB,0.3104931449565399
106,ST18,0.3104931449565399
107,PLS1,0.11095089321477208
107,PRR5L,0.11095089321477208
107,CRYAB,0.11095089321477208
107,BCAT1,0.11095089321477208
107,ST18,0.11095089321477208
107,APOD,0.11095089321477208
108,FBXO7,0.22882407694694384
108,PRR5L,0.22882407694694384
108,CREB5,0.22882407694694384
108,SYTL2,0.22882407694694384
109,TMOD1,0.17285831477792102
109,TALDO1,0.17285831477792102
109,CRYAB,0.17285831477792102
109,SYTL2,0.17285831477792102
109,ST18,0.17285831477792102
110,USP6NL,0.2910360884749709
110,PRR5L,0.2910360884749709
110,IFFO1,0.2910360884749709
110,BIRC2,0.2910360884749709
110,SMURF1,0.2910360884749709
111,CHST8,0.3919491525423729
111,KCNK9,0.3919491525423729
111,SEL1L3,0.3919491525423729
111,GLIS1,0.3919491525423729
111,CASZ1,0.3919491525423729
112,PALLD,0.3333333333333333
112,PLCXD2,0.3333333333333333
112,GBE1,0.3333333333333333
112,CASZ1,0.3333333333333333
113,CASZ1,0.43209876543209874
113,STXBP6,0.43209876543209874
113,PRKCQ,0.43209876543209874
113,PDE1C,0.43209876543209874
114,MID1,0.26170798898071623
114,GABRA4,0.26170798898071623
114,IPCEF1,0.26170798898071623
114,CASZ1,0.26170798898071623
115,LTBP1,0.1485148514851485
115,NREP,0.1485148514851485
115,GABRA4,0.1485148514851485
115,CDYL,0.1485148514851485
115,COL25A1,0.1485148514851485
116,ITGA8,0.31232876712328766
116,GOLIM4,0.31232876712328766
116,CASZ1,0.31232876712328766
117,CHST8,0.3489702517162471
117,DEPTOR,0.3489702517162471
117,COL25A1,0.3489702517162471
117,CASZ1,0.3489702517162471
118,CPNE9,0.3111432706222865
118,CCND2,0.3111432706222865
118,GABRA4,0.3111432706222865
118,IPCEF1,0.3111432706222865
118,ENTPD3,0.3111432706222865
119,HTR2A,0.27607361963190186
119,SEL1L3,0.27607361963190186
119,CASZ1,0.27607361963190186
119,STXBP6,0.27607361963190186
120,SEL1L3,0.390549662487946
120,GOLIM4,0.390549662487946
120,CASZ1,0.390549662487946
120,ARHGAP28,0.390549662487946
