,0
2,249
3,492
4,428
5,474
6,45
7,116
8,79
9,90
10,56
11,114
12,234
13,306
14,207
15,253
17,109
18,137
19,525
20,210
21,231
22,232
23,197
24,86
25,86
26,124
27,59
28,272
29,37
30,422
31,41
32,707
33,85
34,164
35,122
36,918
37,106
38,77
39,74
40,228
41,768
42,1098
45,72
46,234
47,109
48,211
49,318
50,671
51,194
52,192
53,1176
54,498
55,383
56,192
57,125
58,858
59,378
60,373
61,405
62,1285
63,371
64,176
65,275
66,180
67,529
68,250
69,706
70,905
71,1332
72,558
73,650
74,18
75,110
76,170
77,73
78,164
79,266
80,41
81,40
82,57
83,47
84,23
85,85
86,313
87,251
88,522
89,143
90,84
91,77
92,273
93,373
94,50
95,55
96,94
97,46
98,57
99,39
101,191
103,80
104,39
105,93
106,101
107,168
108,89
109,121
110,198
111,369
112,750
113,55
114,308
115,422
116,40
117,551
118,640
119,37
120,66
121,53
122,949
123,367
124,435
125,341
126,166
127,1348
128,270
129,974
130,200
131,1577
132,1349
133,1150
134,183
135,706
136,1427
137,1652
138,1731
139,1772
140,965
141,548
142,74
143,102
144,219
145,72
146,392
147,102
148,90
150,698
151,101
152,58
153,63
154,343
155,786
156,375
157,283
158,58
159,220
160,99
161,31
163,119
165,44
167,981
168,791
169,184
170,229
171,61
172,295
173,344
174,1114
175,1001
176,206
177,514
178,216
179,167
180,431
181,479
182,12
183,301
184,1250
185,374
186,175
187,63
188,308
189,57
190,352
191,275
192,112
193,659
194,54
195,700
196,692
197,237
198,481
199,864
200,841
201,984
202,993
203,279
204,89
205,405
206,825
207,126
208,143
209,86
210,372
211,101
212,114
213,259
214,985
215,514
216,52
217,49
218,72
219,51
220,92
221,287
222,123
223,91
224,101
225,109
226,756
227,68
228,37
229,1538
230,28
231,904
232,682
233,1530
234,306
235,1356
236,205
237,567
238,994
239,717
241,1044
242,211
243,789
244,1336
245,945
246,461
247,583
248,208
249,160
250,359
251,99
252,864
253,140
254,121
255,91
256,724
257,801
258,407
259,1598
260,911
261,1208
262,1518
263,308
264,132
265,237
266,75
267,466
268,304
269,1263
