clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
???,77,0.7805907172995781,0.925,0.4805194805194805,209026,3,40,37,1,['DDC'],"['DDC', 'TPH2', 'SHOX2', 'SLC6A4', 'GCH1', 'MALRD1', 'GATA3', 'VWA5B1', 'PCSK1', 'RNF220']",0.3262395874115135
Alpha-MN,1493,0.8216176739090744,0.9036144578313253,0.6028131279303416,207517,96,593,900,3,"['TMOD1', 'CHAT', 'BCL6']","['RET', 'AHNAK2', 'ANXA2', 'TMOD1', 'CHAT', 'BCL6', 'SLC5A7', 'TNS1', 'MSN', 'HTRA1']",0.13565979050564808
CSF-cNs,721,0.8123620309050773,0.9533678756476683,0.5104022191400832,208367,18,353,368,3,"['CRB1', 'RNF220', 'ST6GALNAC5']","['GATA3', 'ST18', 'CRB1', 'RNF220', 'NRP2', 'ST6GALNAC5', 'PAPPA', 'TMEM132D', 'MEIS2', 'KCNMB2']",0.0954084351246096
Cholinergic-IN,911,0.3436293436293436,0.9270833333333334,0.09769484083424808,208188,7,822,89,2,"['NOS1', 'SLC5A7']","['NOS1', 'TRPC4', 'SLC5A7', 'CHAT', 'ST3GAL1', 'DACH2', 'SEMA3A', 'GABRG1', 'CEMIP', 'PLPP4']",0.13574449482962897
Ependymal,8770,0.8497439226718604,0.9943025954842794,0.5372862029646522,200309,27,4058,4712,2,"['ZBBX', 'KIAA2012']","['MLF1', 'NEK5', 'TTC21A', 'NME5', 'ZBBX', 'KIAA2012', 'HYDIN', 'LRGUK', 'LRRC9', 'CFAP43']",0.22447967502693048
GABA-Dorsal-1,4111,0.3650190114068441,0.7792207792207793,0.11675991243006567,204859,136,3631,480,4,"['RORB', 'ANGPT1', 'RHBDL3', 'TMEM178A']","['CNIH3', 'RORB', 'ANGPT1', 'SEZ6', 'RHBDL3', 'TMEM178A', 'CPLX2', 'PAX8', 'SLC6A5', 'PAX2']",0.04410205093100224
GABA-Dorsal-2,2524,0.3564175467099919,0.585,0.13906497622820918,206333,249,2173,351,3,"['ACTN2', 'PLCH1', 'GAS7']","['ACTN2', 'PLCH1', 'IPCEF1', 'GAS7', 'EPS8', 'PAX2', 'PAX8', 'NWD2', 'SDK2', 'COL5A2']",0.03561818993115263
GABA-Dorsal-3,1568,0.6095927116827439,0.8410351201478743,0.29017857142857145,207452,86,1113,455,4,"['ENTPD3', 'RORB', 'PLPP4', 'PCSK5']","['LRRC1', 'TNFRSF19', 'ENTPD3', 'RORB', 'PLPP4', 'PCSK5', 'SYT10', 'SEZ6', 'NWD2', 'STARD13']",0.05292020220182532
GABA-Dorsal-4,2029,0.5886575735821967,0.6645056726094003,0.40413997042878264,206663,414,1209,820,3,"['PRKCQ', 'MITF', 'PAX2']","['ITGA8', 'PRKCQ', 'STXBP6', 'MITF', 'PAX8', 'PAX2', 'PCP4L1', 'EEPD1', 'SLC6A5', 'BCL11B']",0.07105440321552911
GABA-Dorsal-5,1071,0.467047223663726,0.8411214953271028,0.16806722689075632,208001,34,891,180,5,"['THSD4', 'PDZRN3', 'ST6GALNAC5', 'SLIT3', 'NWD2']","['THSD4', 'PDZRN3', 'CEMIP', 'ST6GALNAC5', 'SLIT3', 'NWD2', 'ADAMTS17', 'GAD2', 'DPY19L1', 'BCL11B']",0.04834517124354057
GABA-Dorsal-6,692,0.5020491803278688,0.6222222222222222,0.2832369942196532,208295,119,496,196,4,"['NRIP3', 'PRR5L', 'HUNK', 'THSD4']","['NRIP3', 'PRR5L', 'HUNK', 'THSD4', 'DACH2', 'PDZRN3', 'RORB', 'CNIH3', 'ABTB2', 'SLC6A5']",0.06772881814002499
GABA-Dorsal-7,1375,0.26691887347625054,0.5059760956175299,0.09236363636363637,207607,124,1248,127,4,"['TOX', 'CCDC60', 'ANGPT1', 'PAX2']","['HCRTR2', 'GSAP', 'TOX', 'CCDC60', 'ANGPT1', 'PAX2', 'PAX8', 'PDE1A', 'GAD1', 'PTPRZ1']",0.05193131861067484
GABA-Dorsal-8,3514,0.5070161503839026,0.7584158415841584,0.21798520204894706,205348,244,2748,766,3,"['PARM1', 'EEPD1', 'GABRG1']","['PARM1', 'EEPD1', 'DACH2', 'TRPC4', 'NFIX', 'GABRG1', 'RORB', 'PRKCQ', 'STAC', 'NWD2']",0.053355577611618965
GABA-Dorsal-9,3286,0.32141827616027674,0.488499452354874,0.1357273280584297,205353,467,2840,446,3,"['TMEM200A', 'ADAMTS2', 'SLC6A5']","['TMEM200A', 'ADAMTS2', 'GABRG1', 'HTR1F', 'BAIAP3', 'SLC6A5', 'PAX8', 'PAX2', 'TRHDE', 'ADRA1A']",0.048124566596255886
GABA-Dorsal-10,762,0.49837486457204766,0.6789667896678967,0.24146981627296588,208257,87,578,184,5,"['RASSF8', 'NRIP3', 'RORB', 'TOX', 'PRKCQ']","['RASSF8', 'RGS9', 'NRIP3', 'RORB', 'TOX', 'PRKCQ', 'SYT10', 'SLC4A4', 'NWD2', 'STAC']",0.057786924651287076
